 portfolio_name,sedol,invariant_id,sec_desc,market,currency,country,sector,subsector,industry,subindustry
MSACIMIUSD,B87X2L2,Z915NS8B3,CECEP COSTIN NEW MATS. GP.,HKG,HKD,CHN,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Textiles
MSACIMIUSD,B3LPDL6,Z915NSCV4,CRUCIALTEC,KOR,KRW,KOR,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
MSACIMIUSD,BYZGBB8,Z915NSFJ8,NORTHVIEW ATT.REIT.TST.,CAN,CAD,CAN,Financials,Real Estate,Real Estate Investment Trusts (REITs),Residential REIT's
MSACIMIUSD,B3LX5R0,Z915NSGT5,PAX GLOBAL TECHNOLOGY,HKG,HKD,HKG,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
MSACIMIUSD,B3M23R2,Z915NSHZ0,GENMARK DIAGNOSTICS,USA,USD,USA,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MSACIMIUSD,B3M4R76,Z915NSJS4,BADGER DAYLIGHTING,CAN,CAD,CAN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MSACIMIUSD,B3M5360,Z915NSJU9,QGEP PARTICIPACOES ON,BRA,BRL,BRA,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MSACIMIUSD,B3M62G6,Z915NSK03,ENERCARE,CAN,CAD,CAN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
MSACIMIUSD,B3M7R64,Z915NSKB9,SUMMIT HOTEL PROPERTIES,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Hotel & Resort REITs
MSACIMIUSD,B3M88S6,Z915NSKG8,PHOENIX NEW MEDIA CL.A ADR 1:8,USA,USD,USA,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services
MSACIMIUSD,B3MBSJ6,Z915NSKX1,VERESEN,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
MSACIMIUSD,B3MDMR8,Z915NSLC6,IMARKETKOREA,KOR,KRW,KOR,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
MSACIMIUSD,B3MMXX8,Z915NSP40,CREDIT CHINA HOLDINGS,HKG,HKD,HKG,Financials,Diversified Financials,Consumer Finance,Consumer Finance
MSACIMIUSD,BLZHF07,Z915NSRP1,UNION BANKSHARES,USA,USD,USA,Financials,Banks,Banks,Regional Banks
MSACIMIUSD,B3MYPN8,Z915NSRS5,SPECTRUM BRAND HOLDINGS,USA,USD,USA,Consumer Staples,Household & Personal Products,Household Products,Household Products
MSACIMIUSD,B3MZ6K5,Z915NSRW6,IRONWOOD PHARMS.CL.A,USA,USD,USA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
MSACIMIUSD,B3N3363,Z915NSTB0,KOREA AEROSPACE INDS.,KOR,KRW,KOR,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MSACIMIUSD,B3N4753,Z915NSTV6,TERRENO REALTY,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Industrial REIT's
MSACIMIUSD,B3N5WD9,Z915NSW59,DOUGLAS DYNAMICS,USA,USD,USA,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
MSACIMIUSD,B3N5YS8,Z915NSW75,WALTER INVESTMENT MAN.,USA,USD,USA,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MSACIMIUSD,B3N6F00,Z915NSWE0,THERMON GROUP HOLDINGS,USA,USD,USA,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
MSACIMIUSD,B3NBZH2,Z915NSXG4,PTC INDIA FINL.SVS.,IND,INR,IND,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
MSACIMIUSD,B3NDMC2,Z915NSY08,FIRST NAT.FINL.,CAN,CAD,CAN,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MSACIMIUSD,B3NLGR9,Z915NT0F0,SOUFUN HDG.CL.A ADR 1: 0.20,USA,USD,CHN,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services
MSACIMIUSD,B3NNTZ4,Z915NT1B8,BANKUNITED,USA,USD,USA,Financials,Banks,Banks,Regional Banks
MSACIMIUSD,B3NQ4P8,Z915NT1G7,KINDER MORGAN,USA,USD,USA,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
MSACIMIUSD,B3NS1W0,Z915NT1X0,AREZZO INDUSTRIA E ON,BRA,BRL,BRA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
MSACIMIUSD,BW2V4N5,Z915NT292,LEYOU TECHNOLOGIES HDG.,HKG,HKD,HKG,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MSACIMIUSD,B3NTLD4,Z915NT2C5,AMERICAN ASSETS TRUST,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Diversified REIT's
MSACIMIUSD,B3P3LW3,Z915NT524,DRAEGERWERK,DEU,EUR,DEU,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MSACIMIUSD,B3P8D44,Z915NT664,CARMAT,FRA,EUR,FRA,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MSACIMIUSD,B3PQQC7,Z915NT8X3,G-SMATT GLOBAL,KOR,KRW,KOR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MSACIMIUSD,B3PQXL5,Z915NT8Z8,ANICOM HOLDINGS,JPN,JPY,JPN,Financials,Insurance,Insurance,Property & Casualty Insurance
MSACIMIUSD,B3PRM66,Z915NT9D6,JUBILANT FOODWORKS,IND,INR,IND,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
MSACIMIUSD,B3PY1N7,Z915NTAW2,RLJ LODGING TRUST,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Hotel & Resort REITs
MSACIMIUSD,B3PZ2V5,Z915NTB43,CHINA MODERN DAIRY HDG.,HKG,HKD,HKG,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products
MSACIMIUSD,B3Q0VS9,Z915NTBK7,21VIANET GROUP ADR 1:6,USA,USD,CHN,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services
MSACIMIUSD,B3Q12H8,Z915NTBL5,ROGERS SUGAR,CAN,CAD,CAN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MSACIMIUSD,B3Q2FJ4,Z915NTBZ4,STANLEY BLACK & DECKER,USA,USD,USA,Industrials,Capital Goods,Machinery,Industrial Machinery
MSACIMIUSD,B3QFW69,Z915NTE40,BROOKFIELD CANADA OFFE. PROPS.,CAN,CAD,CAN,Financials,Real Estate,Real Estate Investment Trusts (REITs),Office REIT's
MSACIMIUSD,B3QJ0H8,Z915NTEJ7,TOURMALINE OIL,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MSACIMIUSD,B63WX27,Z915NTGB2,VA TECH WABAG,IND,INR,IND,Utilities,Utilities,Water Utilities,Water Utilities
MSACIMIUSD,B3R1D52,Z915NTM33,CORPORATE TRAVEL MAN.,AUS,AUD,AUS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
MSACIMIUSD,B3R5FK3,Z915NTPT3,NEW EUROPE PR.INVS.(JSE),ZAF,ZAR,GBR,Financials,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
MSACIMIUSD,B3R7X83,Z915NTRG9,TEXMACO RAIL & ENGR.,IND,INR,IND,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
MSACIMIUSD,B3RDWC8,Z915NTTZ5,MAXLINEAR 'A',USA,USD,USA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MSACIMIUSD,B3S4L67,Z915NTXW7,CALIX NETWORKS,USA,USD,USA,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
MSACIMIUSD,B3S5PF7,Z915NTY22,INTRON BIOTECHNOLOGY,KOR,KRW,KOR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
MSACIMIUSD,BZ2JCC5,Z915NTY97,WRIGHT MEDICAL GROUP,USA,USD,NLD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MSACIMIUSD,B3SGMV5,Z915NU0X8,KEYERA,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
MSACIMIUSD,B3SHRR9,Z915NU190,KOLON LIFE SCIENCE,KOR,KRW,KOR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
MSACIMIUSD,B3SJKB0,Z915NU1C3,FREEHOLD ROYALTIES,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MSACIMIUSD,B3SPXZ3,Z915NU406,LYONDELLBASELL INDS.CL.A,USA,USD,USA,Materials,Materials,Chemicals,Commodity Chemicals
MSACIMIUSD,B3SQRQ5,Z915NU5F2,PARKLAND FUEL,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
MSACIMIUSD,B3SWPT2,Z915NU7J2,AMERESCO CLASS A,USA,USD,USA,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MSACIMIUSD,B3T3VV8,Z915NUAA7,CORESITE REALTY,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Specialized REIT's
MSACIMIUSD,B3T6ZG0,Z915NUAW9,SCIQUEST,USA,USD,USA,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services
MSACIMIUSD,B3TBRZ8,Z915NUC07,CALBEE,JPN,JPY,JPN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MSACIMIUSD,BGLL939,Z915NUDR7,NIPPON INDOSARI CORPINDO,IDN,IDR,IDN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MSACIMIUSD,B3TYW07,Z915NUJ00,CHINA SNJA.FINE CHEMS.,HKG,HKD,CHN,Materials,Materials,Chemicals,Commodity Chemicals
MSACIMIUSD,B3V8JL7,Z915NULY3,PENNYMAC MGE.INV.TST.,USA,USD,USA,Financials,Real Estate,Real Estate Investment Trusts (REITs),Mortgage REIT's
MSACIMIUSD,B3VLKV3,Z915NUPP8,GNC HOLDINGS CL.A,USA,USD,USA,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
MSACIMIUSD,B3VVQ71,Z915NURC5,TOPTEC,KOR,KRW,KOR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
