 invariant_id,quote_type,quote_value,currency
Z913Y13Z7,TOTRET,                -0.023836,BRL
Z913Y13Z7,TRDVOL,           1267700.000000,BRL
Z913Y1403,COMPMC,       18287849365.420623,USD
Z913Y1403,PCLOSE,                41.009994,BRL
Z913Y1403,TOTRET,                -0.012758,BRL
Z913Y1403,TRDVOL,           1412500.000000,BRL
Z913Y1452,COMPMC,        1381178913.239475,USD
Z913Y1452,PCLOSE,                11.210000,BRL
Z913Y1452,TOTRET,                 0.019090,BRL
Z913Y1452,TRDVOL,           3047100.000000,BRL
Z913Y1460,COMPMC,        2816812073.045980,USD
Z913Y1460,PCLOSE,                57.000000,BRL
Z913Y1460,TOTRET,                 0.001933,BRL
Z913Y1460,TRDVOL,            993400.000000,BRL
Z913Y1478,COMPMC,        1075516408.471461,USD
Z913Y1478,PCLOSE,                 8.850000,BRL
Z913Y1478,TOTRET,                -0.010066,BRL
Z913Y1478,TRDVOL,           1373100.000000,BRL
Z913Y1494,COMPMC,        5032343392.398918,USD
Z913Y1494,PCLOSE,                26.539993,BRL
Z913Y1494,TOTRET,                -0.001129,BRL
Z913Y1494,TRDVOL,            981700.000000,BRL
Z913Y14A1,COMPMC,       81100683126.430404,USD
Z913Y14A1,PCLOSE,                18.600006,BRL
Z913Y14A1,TOTRET,                 0.010870,BRL
Z913Y14A1,TRDVOL,          12226000.000000,BRL
Z913Y14B9,COMPMC,       14093569032.179761,USD
Z913Y14B9,PCLOSE,                17.729995,BRL
Z913Y14B9,TOTRET,                -0.023678,BRL
Z913Y14B9,TRDVOL,           9599000.000000,BRL
Z913Y14C7,COMPMC,        3898039533.341424,USD
Z913Y14C7,PCLOSE,                19.100006,BRL
Z913Y14C7,TOTRET,                 0.005263,BRL
Z913Y14C7,TRDVOL,           3116800.000000,BRL
Z913Y14E3,COMPMC,       37688271551.425201,USD
Z913Y14E3,PCLOSE,                11.510001,BRL
Z913Y14E3,TOTRET,                -0.041631,BRL
Z913Y14E3,TRDVOL,           9284801.000000,BRL
Z913Y14G8,COMPMC,        6478981725.501074,USD
Z913Y14G8,PCLOSE,                35.779998,BRL
Z913Y14G8,TOTRET,                -0.011329,BRL
Z913Y14G8,TRDVOL,            563600.000000,BRL
Z913Y14H6,COMPMC,        4681211639.156667,USD
Z913Y14H6,PCLOSE,                 6.970000,BRL
Z913Y14H6,TOTRET,                -0.029247,BRL
Z913Y14H6,TRDVOL,           1677500.000000,BRL
Z913Y14K9,COMPMC,         188948690.746584,USD
Z913Y14K9,PCLOSE,                 0.930000,BRL
Z913Y14K9,TOTRET,                -0.031249,BRL
Z913Y14K9,TRDVOL,           2026000.000000,BRL
Z913Y14L7,COMPMC,        2443912979.402177,USD
Z913Y14L7,PCLOSE,                 5.670000,BRL
Z913Y14L7,TOTRET,                -0.040609,BRL
Z913Y14L7,TRDVOL,          15547000.000000,BRL
Z913Y14M5,COMPMC,       10419759735.418544,USD
